Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Rosaceae	Crataegus suksdorfii (Sarg.) Kruschke	Crataegus suksdorfii (Sarg.) Kruschke	T	Phipps anno	
Asteraceae	Crepis capillaris (L.) Wallr.	Crepis capillaris (L.) Wallr.	T	AK taxon list	
Asteraceae	Crepis chrysantha (Ledeb.) Turcz.	Crepis chrysantha (Ledeb.) Turcz.	F	AK taxon list	
Asteraceae	Crepis elegans Hook.	Askellia elegans (Hook.) W.A.Weber	T		Elven, R.  et al. 2003; /
Asteraceae	Crepis nana Richardson	Askellia nana (Richardson) W.A.Weber	T		Elven, R.  et al. 2003; /
Asteraceae	Crepis nana Richardson var. lyratifolia (Turcz.) Hult始	Askellia nana (Richardson) W.A.Weber	T		Elven, R.  et al. 2003; /
Asteraceae	Crepis nana Richardson var. nana 	Crepis nana Richardson var. nana 	F	AK taxon list	
Asteraceae	Crepis  	Crepis  	F	consistency	
Asteraceae	Crepis tectorum L.	Crepis tectorum L.	T	Hulten	
Pteridaceae	Cryptogramma acrostichoides R.Br.	Cryptogramma acrostichoides R.Br.	T	Lellinger85	
Pteridaceae	Cryptogramma acrostichoides R.Br. var. sitchensis (Rupr.) C.Chr.	Cryptogramma sitchensis (Rupr.) T.Moore	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Cryptogramma crispa (L.) R.Br.	Cryptogramma crispa (L.) R.Br. ex Hook. var. acrostichoides (R.Br.) C.B.Clarke	F		Alverson 1993; Alverson, Edward R. 1993.  Cryptogramma, Pages 137-139 in Flora North America Vol 2./
Pteridaceae	Cryptogramma crispa (L.) R.Br. ex Hook. var. acrostichoides (R.Br.) C.B.Clarke	Cryptogramma acrostichoides R.Br.	T	Lellinger85	FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Cryptogramma crispa (L.) R.Br. ex Hook. subsp. acrostichoides (R.Br.) Hult始	Cryptogramma acrostichoides R.Br.	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Pteridaceae	Cryptogramma crispa (L.) R.Br. ex Hook. var. sitchensis (Rupr.) C.Chr.	Cryptogramma sitchensis (Rupr.) T.Moore	T	FNA	Alverson 1993; Alverson, Edward R. 1993.  Cryptogramma, Pages 137-139 in Flora North America Vol 2./
Pteridaceae	Cryptogramma sitchensis (Rupr.) T.Moore	Cryptogramma sitchensis (Rupr.) T.Moore	T	FNA	
Pteridaceae	Cryptogramma stelleri (S.G.Gmel.) Prantl	Cryptogramma stelleri (S.G.Gmel.) Prantl	T	AK taxon list	
Poaceae	Critesion brachyantherum (Nevski) Barkworth & D.R.Dewey	Hordeum brachyantherum Nevski	F		ALA Taxon List; ALA Taxon List/
Poaceae	Critesion jubatum (L.) Barkworth & D.R.Dewey	Hordeum jubatum L.	F		ALA Taxon List; ALA Taxon List/
Crassulaceae	Crassula aquatica (L.) Sch嗜land	Crassula aquatica (L.) Sch嗜land	F	AK taxon list	
Boraginaceae	Cryptantha shackletteana L.C.Higgins	Cryptantha shackletteana L.C.Higgins	T	AK taxon list	
Boraginaceae	Cryptantha spiculifera auct.	Cryptantha shackletteana L.C.Higgins	T		Hult始 1973; Hult始, E.  1973.  Supplement to Flora of Alaska and Neighboring Territories, a Study in the Flora of Alaska and the Transberingian Connection.  Botaniska Notiser 126:459-512./
Boraginaceae	Cryptantha torreyana (A.Gray) Greene	Cryptantha torreyana (A.Gray) Greene	T	AK taxon list	
Boraginaceae	Cryptantha weberi I.M.Johnst.	Cryptantha weberi I.M.Johnst.	F	Isotype	
Asteraceae	Cota tinctoria (L.) J. Gay ex Guss.	Cota tinctoria (L.) J. Gay ex Guss.	T		FNA 19; /
Ceratophyllaceae	Ceratophyllum demersum L.	Ceratophyllum demersum L.	F	AK taxon list	
Convolvulaceae	Cuscuta  	Cuscuta  	F		
Apiaceae	Cymopterus longilobus (Rydb.) W.A.Weber	Cymopterus longilobus (Rydb.) W.A.Weber	F		
Orchidaceae	Cypripedium calceolus L.	Cypripedium calceolus L.	F	present in Russia according to Sheviak annotations	
Orchidaceae	Cypripedium calceolus L. subsp. parviflorum (Salisb.) Hult始	Cypripedium parviflorum Salisb.	T	Sheviak annotations	Sheviak annos; Sheviak, C. J.  2001-2002. Annotations on ALA specimens/
Orchidaceae	Cypripedium guttatum Sw.	Cypripedium guttatum Sw.	T	AK taxon list	
Orchidaceae	Cypripedium guttatum Sw. subsp. guttatum 	Cypripedium guttatum Sw. subsp. guttatum 	F	AK taxon list	
Orchidaceae	Cypripedium guttatum Sw. subsp. yatabeanum (Makino) Hult始	Cypripedium yatabeanum Makino	T	Sheviak annotations	Sheviak annos; Sheviak, C. J.  2001-2002. Annotations on ALA specimens/
Orchidaceae	Cypripedium montanum Douglas ex Lindl.	Cypripedium montanum Douglas ex Lindl.	T	AK taxon list	
Orchidaceae	Cypripedium parviflorum Salisb.	Cypripedium parviflorum Salisb.	T	Sheviak annotations	Sheviak annos; Sheviak, C. J.  2001-2002. Annotations on ALA specimens/
Orchidaceae	Cypripedium passerinum Richardson	Cypripedium passerinum Richardson	T	AK taxon list	
Orchidaceae	Cypripedium x_alaskanum P.M.Br.	Cypripedium x_alaskanum P.M.Br.	T	Sheviak email	Sheviak 2000 email; Sheviak, C. 2000. Email to S. Talbot (filed in our Orchidaceae file)./
Orchidaceae	Cypripedium yatabeanum Makino	Cypripedium yatabeanum Makino	T	Sheviak annotations	Sheviak annos; Sheviak, C. J.  2001-2002. Annotations on ALA specimens/
Dryopteridaceae	Cystopteris dickieana R.Sim	Cystopteris fragilis (L.) Bernh.	T		Elven, R.  et al. 2003; /
Dryopteridaceae	Cystopteris fragilis (L.) Bernh.	Cystopteris fragilis (L.) Bernh.	T	AK taxon list	
Dryopteridaceae	Cystopteris fragilis (L.) Bernh. subsp. dickieana (R.Sim) Hyl.	Cystopteris fragilis (L.) Bernh.	T	AK taxon list	FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Dryopteridaceae	Cystopteris fragilis (L.) Bernh. subsp. fragilis 	Cystopteris fragilis (L.) Bernh.	T		
Dryopteridaceae	Cystopteris montana (Lam.) Bernh.	Cystopteris montana (Lam.) Bernh.	T	AK taxon list	
Fabaceae	Cytisus scoparius (L.) Link	Cytisus scoparius (L.) Link	F		
Poaceae	Dactylis glomerata L.	Dactylis glomerata L.	F	AK taxon list	
Poaceae	Danthonia californica Bol. var. americana (Scribn.) Hitchc.	Danthonia californica Bol. var. americana (Scribn.) Hitchc.	F	Calder & Taylor label	
Poaceae	Danthonia intermedia Vasey	Danthonia intermedia Vasey	F	AK taxon list	
Poaceae	Danthonia spicata (L.) P.Beauv.	Danthonia spicata (L.) P.Beauv.	F	AK taxon list	
Poaceae	Danthonia spicata (L.) P.Beauv. var. pinetorum Piper	Danthonia spicata (L.) P.Beauv. var. pinetorum Piper	F	AK taxon list	
Thymelaeaceae	Daphne mezereum L.	Daphne mezereum L.	F		
Rosaceae	Dasiphora fruticosa (L.) Rydb.	Dasiphora fruticosa (L.) Rydb.	T		Elven, R.  et al. 2003; /
Orchidaceae	Dactylorhiza aristata (Fisch. ex Lindl.) Soo	Dactylorhiza aristata (Fisch. ex Lindl.) Soo	T	AK taxon list	
Asteraceae	Dendranthema arctica (L.) Tzvelev	Arctanthemum arcticum (L.) Tzvelev	T		FNA 19; /
Asteraceae	Dendranthema arctica (L.) Tzvelev subsp. arcticum 	Arctanthemum arcticum (L.) Tzvelev subsp. arcticum 	T		FNA 19; /
Asteraceae	Dendranthema arctica (L.) Tzvelev subsp. polare (Hult始) Heywood	Arctanthemum arcticum (L.) Tzvelev subsp. polare (Hult始) Tzvelev	T		FNA 19; /
Ranunculaceae	Delphinium alatum A.Nelson	Delphinium alatum A.Nelson	F		
Ranunculaceae	Delphinium brachycentrum auct.	Delphinium chamissonis Pritz.	T		Hult始 1973; Hult始, E.  1973.  Supplement to Flora of Alaska and Neighboring Territories, a Study in the Flora of Alaska and the Transberingian Connection.  Botaniska Notiser 126:459-512./
Ranunculaceae	Delphinium chamissonis Pritz.	Delphinium chamissonis Pritz.	T	AK taxon list	
Ranunculaceae	Delphinium glaucum S.Watson	Delphinium glaucum S.Watson	T	AK taxon list	
Ranunculaceae	Delphinium nutans A.Nelson	Delphinium nutans A.Nelson	F		
Ranunculaceae	Delphinium ruthae A.Nelson	Delphinium ruthae A.Nelson	F		
Ranunculaceae	Delphinium  	Delphinium  	F		
Ranunculaceae	Delphinium tangkulaense W.T.Wang	Delphinium tangkulaense W.T.Wang	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Brassicaceae	Descurainia pinnata (Walter) Britton	Descurainia pinnata (Walter) Britton	F	AK taxon list	
Brassicaceae	Descurainia pinnata (Walter) Britton subsp. filipes (A.Gray) Detling	Descurainia pinnata (Walter) Britton subsp. filipes (A.Gray) Detling	F	AK taxon list	
Brassicaceae	Descurainia richardsonii (Sweet) O.E.Schulz	Descurainia richardsonii (Sweet) O.E.Schulz	T	AK taxon list	
Brassicaceae	Descurainia sophioides (Fisch.) O.E.Schulz	Descurainia sophioides (Fisch.) O.E.Schulz	T	AK taxon list	
Brassicaceae	Descurainia sophia (L.) Webb	Descurainia sophia (L.) Webb	T	AK taxon list	
Brassicaceae	Descurainia  	Descurainia  	F		
Poaceae	Deschampsia beringensis Hult始	Deschampsia beringensis Hult始	F	AK taxon list	
Poaceae	Deschampsia borealis (Trautv.) Roshev.	Deschampsia borealis (Trautv.) Roshev.	F	Arctic Flora USSR	
Poaceae	Deschampsia brevifolia R.Br.	Deschampsia brevifolia R.Br.	F	AK taxon list	
Poaceae	Deschampsia cespitosa (L.) P.Beauv.	Deschampsia cespitosa (L.) P.Beauv.	F	AK taxon list	
Poaceae	Deschampsia cespitosa (L.) P.Beauv. var. glauca (C.Hartm.) Sam.	Deschampsia cespitosa (L.) P.Beauv. var. glauca (C.Hartm.) Sam.	T		
Poaceae	Deschampsia cespitosa (L.) P.Beauv. subsp. beringensis (Hult始) W.E.Lawr.	Deschampsia beringensis Hult始	F	Hoge & Barkworth annos	
Poaceae	Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa 	Deschampsia cespitosa (L.) P.Beauv. subsp. cespitosa 	F	AK taxon list	
Poaceae	Deschampsia cespitosa (L.) P.Beauv. subsp. orientalis Hult始	Deschampsia cespitosa (L.) P.Beauv. subsp. orientalis Hult始	F	AK taxon list	
Poaceae	Deschampsia cespitosa (L.) P.Beauv. subsp. paramushirensis (Honda) Tzvelev	Deschampsia paramushirensis Honda	F	Hoge & Barkworth annos	
Poaceae	Deschampsia danthonioides (Trin.) Munro	Deschampsia danthonioides (Trin.) Munro	F	AK taxon list	
Poaceae	Deschampsia elongata (Hook.) Munro	Deschampsia elongata (Hook.) Munro	F	AK taxon list	
Poaceae	Deschampsia flexuosa (L.) Trin.	Deschampsia flexuosa (L.) Trin.	F	AK taxon list	
Poaceae	Deschampsia glauca C.Hartm.	Deschampsia cespitosa (L.) P.Beauv. var. glauca (C.Hartm.) Sam.	F	Hulten 1968	Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Poaceae	Deschampsia mackenzieana Raup	Deschampsia mackenzieana Raup	F	AK taxon list	
Poaceae	Deschampsia paramushirensis Honda	Deschampsia paramushirensis Honda	F	Hoge & Barkworth	
Poaceae	Deschampsia pumila (Trin.) Ostenf.	Deschampsia pumila (Trin.) Ostenf.	F	AK taxon list	
Poaceae	Deschampsia  	Deschampsia  	F		
Poaceae	Deschampsia sukatschewii (Popl.) Roshev.	Deschampsia sukatschewii (Popl.) Roshev.	F	Arctic Flora USSR	
Poaceae	Deyeuxia tibetica Bor	Deyeuxia tibetica Bor	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Poaceae	Deyeuxia tibetica Bor var. przewalskyi (Tzvelev) P.C.Kuo & S.L.Lu	Deyeuxia tibetica Bor var. przewalskyi (Tzvelev) P.C.Kuo & S.L.Lu	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Diapensiaceae	Diapensia lapponica L.	Diapensia lapponica L.	F	AK taxon list	
Diapensiaceae	Diapensia lapponica L. subsp. obovata (F.Schmidt) Hult始	Diapensia lapponica L. subsp. obovata (F.Schmidt) Hult始	T	AK taxon list	
Fumariaceae	Dicentra peregrina (Rudolph) Makino	Dicentra peregrina (Rudolph) Makino	F	AK taxon list	
Scrophulariaceae	Digitalis purpurea L.	Digitalis purpurea L.	T	AK taxon list	
Lycopodiaceae	Diphasium alpinum (L.) Rothm	Diphasiastrum alpinum (L.) Holub	T		Elven, R.  et al. 2003; /
Lycopodiaceae	Diphasium complantum (L.) Rothm subsp. complanatum 	Diphasiastrum complanatum (L.) Holub subsp. complanatum 	T		Elven, R.  et al. 2003; /
Lycopodiaceae	Diphasium complanatum (L.) Rothm subsp. montellii (Kukkonen) Kukkonen	Diphasiastrum complanatum (L.) Holub subsp. montellii (Kukkonen) Kukkonen	T		Elven, R.  et al. 2003; /
Lycopodiaceae	Diphasium sitchense (Rupr.) A.Love & D.Love	Diphasiastrum sitchense (Rupr.) Holub	T		Elven, R.  et al. 2003; /
Brassicaceae	Dilophia salsa Thomson	Dilophia salsa Thomson	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Caryophyllaceae	Dianthus barbatus L.	Dianthus barbatus L.	F		
Caryophyllaceae	Dianthus repens Willd.	Dianthus repens Willd.	T	AK taxon list	
Lycopodiaceae	Diphasiastrum alpinum (L.) Holub	Diphasiastrum alpinum (L.) Holub	T	FNA	Wagner & Beitel 1993; Wagner, Warren H., Jr. and Joseph M. Beitel. 1993. Lycopodiaceae Mirbel.  Pages 18-37 in Flora North America Vol. 2/
Lycopodiaceae	Diphasiastrum complanatum (L.) Holub	Diphasiastrum complanatum (L.) Holub	F	FNA	Wagner & Beitel 1993; Wagner, Warren H., Jr. and Joseph M. Beitel. 1993. Lycopodiaceae Mirbel.  Pages 18-37 in Flora North America Vol. 2/
Lycopodiaceae	Diphasiastrum complanatum (L.) Holub subsp. complanatum 	Diphasiastrum complanatum (L.) Holub subsp. complanatum 	F		Elven, R.  et al. 2003; /
Lycopodiaceae	Diphasiastrum complanatum (L.) Holub subsp. montellii (Kukkonen) Kukkonen	Diphasiastrum complanatum (L.) Holub subsp. montellii (Kukkonen) Kukkonen	T		Elven, R.  et al. 2003; /
Lycopodiaceae	Diphasiastrum sitchense (Rupr.) Holub	Diphasiastrum sitchense (Rupr.) Holub	T	FNA	Wagner & Beitel 1993; Wagner, Warren H., Jr. and Joseph M. Beitel. 1993. Lycopodiaceae Mirbel.  Pages 18-37 in Flora North America Vol. 2/
Poaceae	Digitaria ischaemum (Schreb.) Schreb. ex Muhl.	Digitaria ischaemum (Schreb.) Schreb. ex Muhl.	F	Portland Oregon	Hitchcock et al. 1964; Hitchcock et al. 1964. Vascular Plants of the Pacific Northwest. University of Washington Press, 5 vols./
Primulaceae	Dodecatheon frigidum Cham. & Schltdl.	Dodecatheon frigidum Cham. & Schltdl.	T	AK taxon list	
Primulaceae	Dodecatheon jeffreyi Van Houtte	Dodecatheon jeffreyi Van Houtte	T	AK taxon list	
Primulaceae	Dodecatheon pulchellum (Raf.) Merr.	Dodecatheon pulchellum (Raf.) Merr.	F	AK taxon list	
Primulaceae	Dodecatheon pulchellum (Raf.) Merr. var. macrocarpum (A.Gray) Reveal	Dodecatheon pulchellum (Raf.) Merr. subsp. macrocarpum (A.Gray) R.L.Taylor & MacBryde	T		FNA vol. 8; /
Primulaceae	Dodecatheon pulchellum (Raf.) Merr. var. pulchellum 	Dodecatheon pulchellum (Raf.) Merr. subsp. pulchellum 	T		FNA vol. 8; /
Primulaceae	Dodecatheon pulchellum (Raf.) Merr. subsp. alaskanum (Hult始) Hult始	Dodecatheon pulchellum (Raf.) Merr. subsp. macrocarpum (A.Gray) R.L.Taylor & MacBryde	T		FNA vol. 8; /
Primulaceae	Dodecatheon pulchellum (Raf.) Merr. subsp. macrocarpum (A.Gray) R.L.Taylor & MacBryde	Dodecatheon pulchellum (Raf.) Merr. subsp. macrocarpum (A.Gray) R.L.Taylor & MacBryde	T		FNA vol. 8; /
Primulaceae	Dodecatheon pulchellum (Raf.) Merr. subsp. pauciflorum (Greene) Hult始	Dodecatheon pulchellum (Raf.) Merr. subsp. pulchellum 	T		FNA vol. 8; /
Primulaceae	Dodecatheon pulchellum (Raf.) Merr. subsp. pulchellum 	Dodecatheon pulchellum (Raf.) Merr. subsp. pulchellum 	T		FNA vol. 8; /
Primulaceae	Dodecatheon pulchellum (Raf.) Merr. subsp. superbum (Pennell & Stair) Hult始	Dodecatheon pulchellum (Raf.) Merr. subsp. macrocarpum (A.Gray) R.L.Taylor & MacBryde	T		FNA vol. 8; /
Primulaceae	Douglasia alaskana (Coville & Standl. ex Hult始) S.Kelso	Douglasia alaskana (Coville & Standl. ex Hult始) S.Kelso	T		
Primulaceae	Douglasia arctica Hook.	Douglasia arctica Hook.	T	AK taxon list	
Primulaceae	Douglasia beringensis S.Kelso, Jurtzev & D.F.Murray	Douglasia beringensis S.Kelso, Jurtzev & D.F.Murray	T	Kelso et al. 1994	
Primulaceae	Douglasia gormanii Constance	Douglasia gormanii Constance	T	AK taxon list	
Primulaceae	Douglasia ochotensis (Willd.) Hult始	Douglasia ochotensis (Willd.) Hult始	T	AK taxon list	
Brassicaceae	Draba adamsii Ledeb.	Draba pauciflora R.Br.	T	R. Elven--see notes for D. adamsii and D. pauciflora (and D. micropetala)	
Brassicaceae	Draba albertina Greene	Draba albertina Greene	T		
Brassicaceae	Draba aleutica E.Ekman	Draba aleutica E.Ekman	T	AK taxon list	
Brassicaceae	Draba alpina L.	Draba alpina L.	F	AK taxon list	
Brassicaceae	Draba altaica (C.A.Mey.) Bunge	Draba altaica (C.A.Mey.) Bunge	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Brassicaceae	Draba arctica J.Vahl	Draba arctica J.Vahl	F		
Brassicaceae	Draba aurea J.Vahl ex Hornem.	Draba aurea J.Vahl ex Hornem.	T	AK taxon list	
Brassicaceae	Draba barbata Pohle	Draba corymbosa R.Br. ex DC.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba bellii () 	Draba corymbosa R.Br. ex DC.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba borealis DC.	Draba borealis DC.	T	AK taxon list	
Brassicaceae	Draba borealis DC. var. maxima (Hult始) S.L.Welsh	Draba borealis DC.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba breweri S.Watson var. cana (Rydb.) Rollins	Draba cana Rydb.	T	Not quite yet convinced by Rollins argument--check with Dave	Rollins 1993; Rollins, Reed C.  1993. The Cruciferae of continental North America.  Stanford University Press, Stanford. 976 pp./
Brassicaceae	Draba caesia Adams	Draba nivalis Lilj.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba cana Rydb.	Draba cana Rydb.	T	AK taxon list	Mulligan 1971; Mulligan, G. A. 1971. Cytotaxonomic studies of the closely allied Draba cana, D. cinerea, and D. groenlandica in Canada and Alaska. Can. J. Bot. 49(1):89-93/Mulligan 1976; Mulligan, G. A. 1976. The genus Draba in Canada and Alaska: key and summary. Can. J. Bot. 54(12):1386-1393/
Brassicaceae	Draba chamissonis G.Don	Draba chamissonis G.Don	F	AK taxon list	
Brassicaceae	Draba cinerea J.E.Adams	Draba cinerea J.E.Adams	T	AK taxon list	
Brassicaceae	Draba corymbosa R.Br. ex DC.	Draba corymbosa R.Br. ex DC.	T	AK taxon list	
Brassicaceae	Draba crassifolia Graham	Draba crassifolia Graham	T	AK taxon list	
Brassicaceae	Draba densifolia Nutt.	Draba densifolia Nutt.	T	AK taxon list	
Brassicaceae	Draba eschscholtzii Pohle	Draba eschscholtzii Pohle	F	AK taxon list	
Brassicaceae	Draba exalata E.Ekman	Draba incerta Payson	T		Gerry Mulligan pers. com. to D.F.M. ; /
Brassicaceae	Draba fladnizensis Wulfen	Draba fladnizensis Wulfen	T	AK taxon list	
Brassicaceae	Draba glabella Pursh	Draba glabella Pursh	T	AK taxon list	
Brassicaceae	Draba groenlandica E.Ekman	Draba oblongata R.Br. ex DC.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba hatchiae G.A.Mulligan	Draba hyperborea (L.) Desv.	T		DFM, notes by D.F. Murray; /
Brassicaceae	Draba hirta auct.	Draba glabella Pursh	T	Mulligan 1970	Mulligan 1970; Mulligan, G. A. 1970. Cytotaxonomic studies of Draba glabella and its close allies in Canada and Alaska. Can. J. Bot. 48: 1431-1437./
Brassicaceae	Draba hyperborea (L.) Desv.	Draba hyperborea (L.) Desv.	T	AK taxon list	
Brassicaceae	Draba incerta Payson	Draba incerta Payson	T	AK taxon list	
Brassicaceae	Draba involis Lilj.	Draba involis Lilj.	F	AK taxon list	
Brassicaceae	Draba juvenilis Kom.	Draba juvenilis Kom.	T	Arctic Flora USSR	
Brassicaceae	Draba kamtschatica (Ledeb.) N.Busch	Draba kamtschatica (Ledeb.) N.Busch	T	AK taxon list	
Brassicaceae	Draba kananaskis G.A.Mulligan	Draba kananaskis G.A.Mulligan	T		Mulligan 1970; Mulligan, G. A. 1970. A new species of Draba in the Kananaskis Range of southwestern Alberta. Can. J. Bot. 48: 1897-1898./
Brassicaceae	Draba lactea J.E.Adams	Draba lactea J.E.Adams	T	AK taxon list	
Brassicaceae	Draba lanceolata Royle	Draba cana Rydb.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba longipes Raup	Draba juvenilis Kom.	T	ALA Taxon List	Berkutenko annos; Berkutenko, Alexandra.  Specimen annotations/
Brassicaceae	Draba lonchocarpa Rydb.	Draba lonchocarpa Rydb.	T	AK taxon list	
Brassicaceae	Draba lonchocarpa Rydb. var. lonchocarpa 	Draba lonchocarpa Rydb. var. lonchocarpa 	F		
Brassicaceae	Draba lonchocarpa Rydb. subsp. kamtschatica (Ledeb.) Calder & R.L.Taylor	Draba kamtschatica (Ledeb.) N.Busch	T	R. Elven	
Brassicaceae	Draba lonchocarpa Rydb. var. vestita O.E.Schulz	Draba lonchocarpa Rydb.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba macounii O.E.Schulz	Draba macounii O.E.Schulz	T	AK taxon list	
Brassicaceae	Draba macrocarpa Adams	Draba corymbosa R.Br. ex DC.	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba micropetala Hook.	Draba micropetala Hook.	T	AK taxon list	
Brassicaceae	Draba murrayi G.A.Mulligan	Draba murrayi G.A.Mulligan	T	AK taxon list	
Brassicaceae	Draba nemorosa L.	Draba nemorosa L.	T	AK taxon list	
Brassicaceae	Draba nivalis Lilj.	Draba nivalis Lilj.	T	AK taxon list	
Brassicaceae	Draba oblongata R.Br. ex DC.	Draba oblongata R.Br. ex DC.	T	AK taxon list	
Brassicaceae	Draba ogilviensis Hult始	Draba ogilviensis Hult始	T	AK taxon list	
Brassicaceae	Draba oligosperma Hook.	Draba oligosperma Hook.	T	AK taxon list	
Brassicaceae	Draba oreades Schrenk	Draba oreades Schrenk	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Brassicaceae	Draba palanderiana Kjellman	Draba palanderiana Kjellman	T	AK taxon list	
Brassicaceae	Draba parvisiliquosa Tolm.	Draba parvisiliquosa Tolm.	F	Arctic Flora USSR	
Brassicaceae	Draba pauciflora R.Br.	Draba pauciflora R.Br.	T	high arctic--not found in Alaska yet (R. Elven 2001)	
Brassicaceae	Draba paysonii J.F.Macbr.	Draba paysonii J.F.Macbr.	F	AK taxon list	
Brassicaceae	Draba pilosa Adams ex Fisch.	Draba pilosa Adams ex Fisch.	T	AK taxon list	
Brassicaceae	Draba porsildii G.A.Mulligan	Draba porsildii G.A.Mulligan	T	AK taxon list	
Brassicaceae	Draba praealta Greene	Draba praealta Greene	T	AK taxon list	
Brassicaceae	Draba pseudopilosa Pohle	Draba lactea J.E.Adams	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba ruaxes Payson & H.St.John	Draba ruaxes Payson & H.St.John	T	AK taxon list	
Brassicaceae	Draba  	Draba  	F		
Brassicaceae	Draba stenoloba Ledeb.	Draba stenoloba Ledeb.	T	AK taxon list	
Brassicaceae	Draba stenopetala Trautv.	Draba stenopetala Trautv.	T	AK taxon list	
Brassicaceae	Draba stenopetala Trautv. var. purpurea Hult始	Draba stenopetala Trautv.	T		Hult始 1968; Hult始, Eric.  1968.  Flora of Alaska and Neighboring Territories.  Stanford Univ. Press, Stanford, CA.  1008 pp./
Brassicaceae	Draba subcapitata Simmons	Draba subcapitata Simmons	T	AK taxon list	
Brassicaceae	Draba ventosa A.Gray	Draba ventosa A.Gray	F	AK taxon list	
Brassicaceae	Draba wahlenbergii Hartm.	Draba lactea J.E.Adams	T		Elven, R.  et al. 2003; /
Brassicaceae	Draba yukonensis A.E.Porsild	Draba yukonensis A.E.Porsild	F		
Lamiaceae	Dracocephalum heterophyllum Benth.	Dracocephalum heterophyllum Benth.	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Lamiaceae	Dracocephalum palmatum Stephan	Dracocephalum palmatum Stephan	F	AK taxon list	
Lamiaceae	Dracocephalum parviflorum Nutt.	Dracocephalum parviflorum Nutt.	T	AK taxon list	
Lamiaceae	Dracocephalum thymiflorum L.	Dracocephalum thymiflorum L.	F		Cody 1996; Cody, W. J. 1996. Flora of the Yukon Territory. NRC Research Press, Ottawa. 643 pp./
Droseraceae	Drosera anglica Huds.	Drosera anglica Huds.	F	AK taxon list	
Droseraceae	Drosera rotundifolia L.	Drosera rotundifolia L.	F	AK taxon list	
Droseraceae	Drosera rotundifolia L. var. gracilis Laest.	Drosera rotundifolia L. var. gracilis Laest.	F	AK taxon list	
Dryopteridaceae	Dryopteris assimilis S. Walker	Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy	T		FNA 2; Flora of North America Editorial Committee. 1993. Flora of North America vol. 2. Oxford Univ. Press, New York/
Dryopteridaceae	Dryopteris carthusiana (Vill.) H.P.Fuchs	Dryopteris carthusiana (Vill.) H.P.Fuchs	F	FNA	Montgomery & Wagner 1993; Montgomery, J. D. and W. H. Wagner Jr. 1993. Dryopteris. Pages 280-288 in Flora North America, Vol. 2./
Dryopteridaceae	Dryopteris dilatata (Hoffm.) A.Gray	Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy	F	FNA	Montgomery & Wagner 1993; Montgomery, J. D. and W. H. Wagner Jr. 1993. Dryopteris. Pages 280-288 in Flora North America, Vol. 2./
Dryopteridaceae	Dryopteris dilatata (Hoffm.) A.Gray subsp. americana (Fisch.) Hult始	Dryopteris expansa (C.Presl) Fraser-Jenk. & Jermy	T	FNA	Montgomery & Wagner 1993; Montgomery, J. D. and W. H. Wagner Jr. 1993. Dryopteris. Pages 280-288 in Flora North America, Vol. 2./
