Family	Name with authors (incl. infraspecific taxa if any)	ALA accepted name with authors	AKflora?	Comments (optional)	Literature
Poaceae	Agropyron cristatum (L.) G.Gaertn.	Agropyron cristatum (L.) G.Gaertn.	F	AK taxon list	
Poaceae	Agropyron cristatum (L.) G.Gaertn. subsp. pectinatum (M.Bieb.) Tzvelev	Agropyron cristatum (L.) G.Gaertn. subsp. pectinatum (M.Bieb.) Tzvelev	F	AK taxon list	
Poaceae	Agropyron desertorum (Fisch. ex Link) Schult.	Agropyron desertorum (Fisch. ex Link) Schult.	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Poaceae	Agropyron desertorum (Fisch. ex Link) Schult. forma pilosiusculum Melderis	Agropyron desertorum (Fisch. ex Link) Schult. forma pilosiusculum Melderis	F	Flora of China	Al-Shehbaz & Funston; Al-Shehbaz, I. & M. Funston.  Flora of China Checklist.  Missouri Botanical Garden website (http://mobot.mobot.org/)/
Poaceae	Agropyron macrourum (Turcz.) Drobow	Elymus macrourus (Turcz.) Tzvelev	F	AK taxon list	
Poaceae	Agropyron pauciflorum (Schwein.) Hitchc.	Elymus trachycaulus (Link) Gould ex Shinners	F	AK taxon list	
Poaceae	Agropyron pauciflorum (Schwein.) Hitchc. subsp. majus (Vasey) Melderis	Elymus trachycaulus (Link) Gould ex Shinners subsp. major (Vasey) Tzvelev	F	AK taxon list	
Poaceae	Agropyron pauciflorum (Schwein.) Hitchc. subsp. novae-angliae (Scribn.) Melderis	Elymus trachycaulus (Link) Gould ex Shinners subsp. novae-angliae (Scribn.) Tzvelev	F	AK taxon list	
Poaceae	Agropyron pauciflorum (Schwein.) Hitchc. subsp. teslinense (A.E.Porsild & H.Senn) Melderis	Elymus trachycaulus (Link) Gould ex Shinners subsp. teslinensis (A.E.Porsild & H.Senn) A.Love	F	AK taxon list	
Poaceae	Agropyron spicatum Pursh	Pseudoroegneria spicata (Pursh) A.Love	F	Ak Taxon List	Barkworth & Dewey 1985; Barkworth, M. E. and D. R. Dewey. 1985. Genomically based genera in the perennial Triticeae of North America: identification and membership. Amer. J. Bot. 72(5):767-776./
Poaceae	Agropyron subsecundum (Link) Hitchc.	Elymus subsecundus (Link) A.Love & D.Love	F		
Poaceae	Agropyron teslinense A.E.Porsild & H.Senn	Agropyron teslinense A.E.Porsild & H.Senn	F		
Poaceae	Agropyron trachycaulum (Link) Malte	Elymus trachycaulus (Link) Gould ex Shinners	F		
Poaceae	Agropyron violaceum (Hornem.) Lange subsp. violaceum 	Elymus trachycaulus (Link) Gould ex Shinners subsp. violaceus (Hornem.) A.Love & D.Love	F		
Poaceae	Agrostis alaskana Hult始	Agrostis alaskana Hult始	T	AK taxon list	
Poaceae	Agrostis anadyrensis Soczava	Agrostis anadyrensis Soczava	F	Plant.Vas. USSR	
Poaceae	Agrostis borealis Hartm.	Agrostis mertensii Trin.	F	ALA Taxon List	ALA Taxon List; ALA Taxon List/
Poaceae	Agrostis clavata Trin.	Agrostis clavata Trin.	F	AK taxon list	
Poaceae	Agrostis exarata Trin.	Agrostis exarata Trin.	F	AK taxon list	
Poaceae	Agrostis exarata Trin. var. purpurascens Hult始	Agrostis exarata Trin. var. purpurascens Hult始	F	AK taxon list	
Poaceae	Agrostis geminata Trin.	Agrostis geminata Trin.	F	AK taxon list	
Poaceae	Agrostis gigantea Roth	Agrostis gigantea Roth	F	AK taxon list	
Poaceae	Agrostis kudoi Honda	Agrostis trinii Turcz.	F	tentative, for Alaskan specimens	ALA Taxon List; ALA Taxon List/
